# ===========================================================================
#
#                            PUBLIC DOMAIN NOTICE
#               National Center for Biotechnology Information
#
#  This software/database is a "United States Government Work" under the
#  terms of the United States Copyright Act.  It was written as part of
#  the author's official duties as a United States Government employee and
#  thus cannot be copyrighted.  This software/database is freely available
#  to the public for use. The National Library of Medicine and the U.S.
#  Government have not placed any restriction on its use or reproduction.
#
#  Although all reasonable efforts have been taken to ensure the accuracy
#  and reliability of the software and data, the NLM and the U.S.
#  Government do not and cannot warrant the performance or results that
#  may be obtained by using this software or data. The NLM and the U.S.
#  Government disclaim all warranties, express or implied, including
#  warranties of performance, merchantability or fitness for any particular
#  purpose.
#
#  Please cite the authors in any work or product based on this material :
#
#  1. Allot A, Peng Y, Wei CH, Lee K, Phan L, Lu Z.
#  LitVar: a semantic search engine for linking genomic variant data in PubMed and PMC.
#  Nucleic Acids Res. 2018;46(W1):W530–W536.
#
#  2. Wei CH, Phan L, Feltz J, Maiti R, Hefferon T, Lu Z.
#  tmVar 2.0: integrating genomic variant information from literature with dbSNP
#  and ClinVar for precision medicine. Bioinformatics. 2018;34(1):80–87.
#
# ==========================================================================
# pmid	title	journal
29974678	A likely pathogenic variant putatively affecting splicing of PIGA identified in a multiple congenital anomalies hypotonia-seizures syndrome 2 (MCAHS2) family pedigree via whole-exome sequencing	Mol Genet Genomic Med
23940728	AMD-Associated Genes Encoding Stress-Activated MAPK Pathway Constituents Are Identified by Interval-Based Enrichment Analysis	PLoS One
26808113	High-density genotyping of immune-related loci identifies new SLE risk variants in individuals with Asian ancestry	Nat Genet
24479488	Integrative genomic analysis identifies epigenetic marks that mediate genetic risk for epithelial ovarian cancer	BMC Med Genomics
20144966	African ancestry allelic variation at the MYH9 gene contributes to increased susceptibility to non-diabetic end-stage kidney disease in Hispanic Americans	Hum Mol Genet
28569743	Sources of discordance among germ-line variant classifications in ClinVar	Genet Med
30814510	Organoids as a new model for improving regenerative medicine and cancer personalized therapy in renal diseases	Cell Death Dis
26659599	Reproducible Analysis of Post-Translational Modifications in Proteomes:Application to Human Mutations	PLoS One
29510755	Whole exome sequencing in three families segregating a pediatric case of sarcoidosis	BMC Med Genomics
25333361	Exome Sequencing Is an Efficient Tool for Variant Late-Infantile Neuronal Ceroid Lipofuscinosis Molecular Diagnosis	PLoS One
29079728	PLATO software provides analytic framework for investigating complexity beyond genome-wide association studies	Nat Commun
32758128	Exploring the possibility of predicting human head hair greying from DNA using whole-exome and targeted NGS data	BMC Genomics
25668207	Genetic Investigation of Bisphosphonate-Related Osteonecrosis of Jaw (BRONJ) via Whole Exome Sequencing and Bioinformatics	PLoS One
32457125	In-depth plasma proteomics reveals increase in circulating PD-1 during anti-PD-1 immunotherapy in patients with metastatic cutaneous melanoma	J Immunother Cancer
30389958	X-linked ADGRG2 mutation and obstructive azoospermia in a large Pakistani family	Sci Rep
30894629	A reference collection of patient-derived cell line and xenograft models of proneural, classical and mesenchymal glioblastoma	Sci Rep
30937429	An enhanced workflow for variant interpretation in UniProtKB/Swiss-Prot improves consistency and reuse in ClinVar	Database (Oxford)
32046637	Next-generation sequencing identified novel Desmoplakin frame-shift variant in patients with Arrhythmogenic cardiomyopathy	BMC Cardiovasc Disord
31358043	A validated single-cell-based strategy to identify diagnostic and therapeutic targets in complex diseases	Genome Med
23151582	Analyses of pig genomes provide insight into porcine demography and evolution	Nature
18704161	Genetic Variation in an Individual Human Exome	PLoS Genet
25101798	High-density Genotyping of Immune Loci in Kawasaki Disease and IVIG Treatment Response in European-American Case-parent Trio Study	Genes Immun
20861866	Genome-wide association identifies SKIV2L and MYRIP as protective factors for age-related macular degeneration	Genes Immun
30958262	In-depth human plasma proteome analysis captures tissue proteins and transfer of protein variants across the placenta	Elife
25058410	Cuba: Exploring the History of Admixture and the Genetic Basis of Pigmentation Using Autosomal and Uniparental Markers	PLoS Genet
32697988	Human Labor Pain Is Influenced by the Voltage-Gated Potassium Channel KV6.4 Subunit	Cell Rep
27512948	Three-dimensional modelling identifies novel genetic dependencies associated with breast cancer progression in the isogenic MCF10 model	J Pathol
24367280	Autozygome Sequencing Expands the Horizon of Human Knockout Research and Provides Novel Insights into Human Phenotypic Variation	PLoS Genet
26826707	The Effects of Sequence Variation on Genome-wide NRF2 Binding:New Target Genes and Regulatory SNPs	Nucleic Acids Res
18518984	Genome-wide survey of allele-specific splicing in humans	BMC Genomics
